0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
0,0,0,5,5,0,0,0,0,7,0,7,7,0,0,0
0,0,0,0,0,0,0,0,7,7,7,7,7,0,0,0
0,0,0,0,0,0,0,0,7,7,7,7,7,7,0,0
0,0,0,0,0,0,0,0,7,7,7,7,7,7,0,0
0,0,0,0,0,0,34,35,7,7,7,7,7,7,0,0
0,0,0,0,0,0,20,5,7,7,7,7,7,7,0,0
0,0,0,5,5,5,5,5,7,7,7,7,7,7,0,0
0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
